,url,Index,2022-12-12 Selenium,2023-02-21 Selenium,2023-02-16 Selenium,2022-12-07 Selenium,2023-01-04 Selenium,2022-12-06 Selenium
85,https://www.scholastic.com/home,235,yes,Do Not Sell My Info,Do Not Sell My Info,yes,yes,yes
86,https://www.jstor.org/,236,no,,,no,no,no
87,https://www.goodreads.com/,237,no,,,no,no,no
88,https://www.publishersweekly.com/,238,yes,Do Not Sell,Do Not Sell,yes,yes,yes
89,https://westeros.org/,239,yes,,,yes,yes,yes
90,https://www.nybooks.com/,240,no,,,no,no,no
91,https://www.librarything.com/,241,no,,,no,no,no
92,https://www.kirkusreviews.com/,242,no,,,no,no,no
93,https://ebookfriendly.com/,243,yes,,,yes,yes,yes
94,https://about.proquest.com/en/products-services/ebooks-main/,244,no,,,no,no,no
95,http://ebook3000.com/,245,yes,,,yes,yes,yes
96,https://www.wikibooks.org/,246,no,,,no,no,no
97,https://www.overdrive.com/,247,no,,,no,no,no
98,https://www.freemake.com/,248,no,,,no,no,no
99,https://www.bookdepository.com/,249,no,,,no,no,no
100,https://www.espn.com/,499,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
101,https://sports.yahoo.com/,500,no,,,no,no,no
102,https://www.90min.com/,501,no,,,no,no,no
103,https://www.si.com/,502,no,,,no,no,no
104,https://www.mlb.com/,503,yes,,,yes,yes,yes
105,https://www.foxsports.com/,504,yes,,,yes,yes,yes
106,https://www.cbssports.com/,505,yes,DO NOT SELL MY PERSONAL INFORMATION,DO NOT SELL MY PERSONAL INFORMATION,yes,yes,yes
107,https://skihood.com/,506,yes,,,yes,yes,yes
108,https://www.sbnation.com/,507,yes,Do Not Sell or Share My Personal Info,Do Not Sell or Share My Personal Info,yes,yes,yes
109,https://www.cloudflare.com/,508,no,,,no,no,no
110,https://www.akamai.com/,509,no,,,no,no,no
111,https://www.lumen.com/en-us/home.html,510,no,,,no,no,no
112,https://www.liquidweb.com/,511,no,,,no,no,no
113,https://edg.io/,512,no,,,no,no,no
114,https://www.keycdn.com/,513,no,,,no,no,no
115,https://www.equinix.com/,514,no,,,no,no,no
116,https://www.cdnetworks.com/,515,no,,,no,no,no
117,https://www.getambassador.com/,516,no,,,no,no,no
118,https://aws.amazon.com/?aws-products-all.sort-by=item.additionalFields.productNameLowercase&aws-products-all.sort-order=asc&awsf.re%3AInvent=*all&awsf.Free%20Tier%20Type=*all&awsf.tech-category=*all,517,no,,,no,no,no
119,https://outlook.live.com/owa/,518,no,,,no,no,no
120,https://www.icloud.com/,519,yes,,,yes,yes,yes
121,https://www.zoho.com/,520,no,,,no,no,no
122,http://www.inbox.com/tech/,521,no,,,no,no,no
123,https://proton.me/mail,522,no,,,no,no,no
124,https://www.google.com/,523,no,,,no,no,no
125,https://www.yahoo.com/,524,no,,,no,no,no
126,https://www.bing.com/?toWww=1&redig=8625D14D06664A41A50493BB87348445,525,no,,,no,no,no
127,https://www.ask.com/,526,yes,,,yes,yes,yes
128,https://hp.myway.com/myway/index.html,527,no,,,no,no,no
129,https://www.weebly.com/,528,no,,,no,no,no
130,https://www.wix.com/,529,no,,,no,no,no
131,https://www.squarespace.com/,530,no,,,no,no,no
132,https://www.jimdo.com/,531,no,,,no,no,no
133,https://www.smugmug.com/,532,no,,,no,no,no
134,http://www.wikidot.com/,533,no,,,no,no,no
135,https://www.webs.com/,534,no,,,no,no,no
136,https://www.tripod.lycos.com/,535,no,,,no,no,no
137,https://www.ucoz.com/#superFooter,536,no,,,no,no,no
138,https://www.southwest.com/,537,yes,Do Not Sell/Share My Personal Information,Do Not Sell/Share My Personal Information,yes,yes,yes
139,https://www.aa.com/homePage.do,538,no,,,no,no,no
140,https://www.united.com/en/us,539,no,,,no,no,no
141,https://www.delta.com/,540,no,,,no,no,no
142,https://www.ryanair.com/us/en,541,yes,,,yes,yes,yes
143,https://www.jetblue.com/,542,yes,Do not sell my info,Do not sell my info,yes,yes,yes
144,https://www.airasia.com/en/gb,543,no,,,no,no,no
145,https://www.spirit.com/,544,yes,,,yes,yes,yes
146,https://www.emirates.com/us/english/,545,no,,,no,no,no
147,https://www.qatarairways.com/en-us/homepage.html,546,no,,,no,no,no
148,https://www.britishairways.com/travel/home/public/en_us/,547,no,,,no,no,no
149,https://www.alaskaair.com/,548,no,,,no,no,no
150,https://www.ncbi.nlm.nih.gov/,399,no,,,no,no,no
151,https://www.nature.com/,400,yes,,,yes,yes,yes
152,https://plos.org/,401,yes,,,yes,yes,yes
153,https://www.biomedcentral.com/,402,yes,Manage cookies/Do not sell my data,Manage cookies/Do not sell my data,yes,yes,yes
154,https://www.innerbody.com/,403,yes,Do Not Sell My Info,Do Not Sell My Info,yes,yes,yes
155,https://www.cell.com/,404,no,,,no,no,no
156,https://www.expasy.org/,405,no,,,no,no,no
157,https://www.biologyonline.com/,406,no,,,no,no,no
158,https://www.jbc.org/,407,no,,,no,no,no
159,https://www.broadinstitute.org/,408,no,,,no,no,no
160,https://www.genome.gov/,409,no,,,no,no,no
161,https://www.ornl.gov/,410,no,,,no,no,no
162,https://www.hhmi.org/,411,no,,,no,no,no
163,https://www.genecards.org/,412,no,,,no,no,no
164,http://cshlp.org/,413,yes,,,yes,yes,yes
165,https://www.addgene.org/,414,no,,,no,no,no
166,https://www.neb.com/,415,no,,,no,no,no
167,https://medlineplus.gov/genetics/,416,no,,,no,no,no
168,https://www.epa.gov/,417,no,,,no,no,no
169,https://www.acs.org/content/acs/en.html,418,no,,,no,no,no
170,https://www.rsc.org/,419,no,,,no,no,no
171,https://www.webqc.org/,420,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
172,https://www.webqc.org/,421,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
173,https://www.cas.org/,422,no,,,no,no,no
174,https://www.noaa.gov/,423,no,,,no,no,no
175,https://www.nps.gov/index.htm,424,no,,,no,no,no
176,https://www.livescience.com/,425,yes,Do not sell or share my personal information,Do not sell my info,yes,yes,yes
177,https://www.nature.com/,426,yes,,,yes,yes,yes
178,https://www.epa.gov/,427,no,,,no,no,no
179,https://www.treehugger.com/,428,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
180,https://www.energy.gov/,429,no,,,no,no,no
181,https://www.ewg.org/,430,no,,,no,no,no
182,https://www.eia.gov/,431,no,,,no,no,no
183,https://fws.gov/,432,no,,,no,no,no
184,https://inhabitat.com/page/3/,433,yes,,,yes,yes,yes
185,https://www.nature.org/en-us/,434,yes,,,yes,yes,yes
186,https://www.greenpeace.org/global/,435,no,,,no,no,no
187,https://www.sierraclub.org/,436,no,,,no,no,no
188,http://nwf.org/,437,yes,,,yes,yes,yes
189,https://www.worldwildlife.org/,438,no,,,no,no,no
190,https://icwb.com/one-life,439,yes,,,yes,yes,yes
191,https://www.motherearthnews.com/,440,no,,,no,no,no
192,https://grist.org/,441,yes,,,yes,yes,yes
193,https://www.nasa.gov/,442,no,,,no,no,no
194,https://www.ncbi.nlm.nih.gov/,443,no,,,no,no,no
195,https://www.howstuffworks.com/,444,yes,,,yes,yes,yes
196,https://www.autodesk.com/,445,yes,Do not sell or share my personal information,Do not sell or share my personal information,yes,yes,yes
197,https://www.space.com/,446,yes,Do not sell or share my personal information,Do not sell my info,yes,yes,yes
198,https://www.popularmechanics.com/,447,yes,,,yes,yes,yes
199,https://www.osha.gov/,448,no,,,no,no,no
200,https://www.allposters.com/,100,yes,,,yes,yes,yes
201,https://fineartamerica.com/,101,yes,,,yes,yes,yes
202,https://www.artsy.net/,102,yes,,,yes,yes,yes
203,https://www.art.com/,103,yes,,,yes,yes,yes
204,https://www.saatchiart.com/,104,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
205,https://www.ikea.com/,105,no,,,no,no,no
206,https://www.wayfair.com/,106,no,,,no,no,no
207,https://www.potterybarn.com/,107,no,Do Not Sell My Info,Do Not Sell My Info,no,no,yes
208,https://www.la-z-boy.com/,108,no,,,no,no,no
209,https://www.pier1.com/,109,no,,,no,no,no
210,https://www.biglots.com/,110,yes,California Customers Only: Do Not Sell My Info,California Customers Only: Do Not Sell My Info,yes,yes,yes
211,https://www.worldmarket.com/,111,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
212,https://www.ashleyfurniture.com/,112,yes,,,yes,yes,yes
213,https://www.sleepnumber.com/,113,yes,,,yes,yes,yes
214,https://www.anthropologie.com/,114,no,Do Not Sell My Personal Info,,no,no,no
215,https://www.gardeningknowhow.com/,115,yes,Do not sell or share my personal information.,Do not sell or share my personal information.,yes,yes,yes
216,https://www.treehugger.com/,116,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
217,https://www.gardenweb.com/,117,yes,Do not sell my info,Do not sell my info,yes,yes,yes
218,https://www.gardeners.com/,118,no,,,no,no,no
219,https://www.houzz.com/,119,yes,Do not sell my info,Do not sell my info,yes,yes,yes
220,https://www.hgtv.com/,120,yes,,,yes,yes,yes
221,https://www.apartmenttherapy.com/,121,no,,,no,no,no
222,https://www.urbanoutfitters.com/,122,no,,,no,no,no
223,https://www.marthastewart.com/,123,yes,California Do Not Sell,California Do Not Sell,yes,yes,yes
224,https://www.countryliving.com/,124,yes,,,yes,yes,yes
225,https://www.bhg.com/,125,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
226,https://www.curbed.com/,126,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,yes,yes
227,https://www.michaels.com/,127,no,,,no,no,no
228,https://www.etsy.com/,128,no,,,no,no,no
229,https://www.instructables.com/,129,no,,,no,no,no
230,https://www.hobbylobby.com/,130,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
231,https://www.joann.com/,131,yes,,,yes,yes,yes
232,https://www.craftsy.com/,132,yes,Do Not Sell My Info,Do Not Sell My Info,yes,yes,yes
233,https://makezine.com/,133,yes,,,yes,yes,yes
234,https://www.livinglocurto.com/,134,no,,,no,no,no
235,https://www.officedepot.com/,135,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
236,https://www.staples.com/,136,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
237,https://www.vistaprint.com/,137,yes,Do not sell my info,Do not sell my info,yes,yes,yes
238,https://www.uline.com/,138,no,,,no,no,no
239,https://www.avery.com/,139,no,,,no,no,no
240,https://www.foxnews.com/,140,yes,,,yes,yes,yes
241,https://thehill.com/,141,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,yes,yes
242,https://www.dailywire.com/,142,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
243,https://www.westernjournal.com/commentary/?utm_source=redirect,143,no,,,no,no,no
244,https://www.theamericanconservative.com/,144,no,,,no,no,no
245,https://www.breitbart.com/,145,no,,,no,no,no
246,https://www.wsj.com/,146,no,,,no,no,no
247,https://rare.us/page/7/,147,no,,,no,no,no
248,https://dailycaller.com/,148,yes,CA: Do Not Sell My Info,CA: Do Not Sell My Info,yes,yes,yes
249,https://nypost.com/,149,yes,,,yes,yes,yes
250,https://www.rakuten.com/,299,yes,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,yes,yes,yes
251,https://www.zulily.com/,300,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
252,https://thekrazycouponlady.com/,301,yes,Do not sell my personal information.,Do not sell my personal information.,yes,yes,yes
253,https://getitfree.us/,302,yes,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,yes,yes
254,https://www.offers.com/,303,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
255,https://www.dealnews.com/,304,no,,,no,no,no
256,https://www.woot.com/,305,no,,,no,no,no
257,https://www.grabon.in/,306,no,,,no,no,no
258,https://www.goodrx.com/,307,no,,,no,no,no
259,https://www.hotukdeals.com/,308,no,,,no,no,no
260,https://www.tada.com/,309,yes,,,yes,yes,yes
261,https://www.livingsocial.com/,310,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
262,https://slickdeals.net/,311,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
263,https://www.bizrate.com/,312,yes,Ad Opt out/ Do Not Sell My Personal Information,Ad Opt out/ Do Not Sell My Personal Information,yes,yes,yes
264,https://www.woot.com/,313,no,,,no,no,no
265,https://www.mysmartprice.com/,314,no,,,no,no,no
266,https://www.tada.com/,315,yes,,,yes,yes,yes
267,https://www.rakuten.com/,316,yes,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,yes,yes,yes
268,https://www.smartprix.com/,317,no,,,no,no,no
269,https://shoplocal.com/?postalcode=60670,318,yes,,,yes,yes,yes
270,https://www.mysimon.com/,319,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
271,https://www.bookfinder.com/,320,no,,,no,no,no
272,https://www.shop.com/,321,no,Do Not Sell My Information,Do Not Sell My Information,no,no,no
273,https://www.nextag.com/,322,no,,,no,no,no
274,https://www.shopping.com/#top-deals-homepage,323,no,,,no,no,no
275,https://www.comparethemarket.com/,324,no,,,no,no,no
