Index,Url rendered,Actual url,page jump
483,usatoday.com/?gps-source=BRNMSVCPSKSTT,https://hoopshype.com/,Yes
1011,shutterstock.com/image-vector/thin-line-mini,https://all-free-download.com/,Yes
554,instagram.com/o_thessalonikios/,https://www.lonelyplanet.com/,Yes
