Index,Url rendered,Actual url,block status
548,lyftalaske-loyaltywallet.points.com/maintena,https://www.alaskaair.com/,No
483,usatoday.com/sports/2gps-source=BRNMSVCI,https://hoopshype.com/,Yes
160,events.api.org/soae-2023/2utm_source=AD&M,https://www.politico.com/,Yes
673,newegg.com/p/pl?d=msi+creator+laptopautn,https://www.tomsguide.com/,Yes
245,americascardroom.eu/ads/digital/poker-onlin,http://ebook3000.com/,Yes
1011,shutterstock.com/image-vector/minimalistic-,https://all-free-download.com/,Yes
467,americanexpress.com/en-us/banking/online-s,https://www.convertunits.com/,Yes
228,torrent-protection.com/download-now/,http://ebook3000.com/,Yes
488,myaccount.draftkings.com/signup?returnPatt,https://www.patriots.com/,Yes
