,Index,Word list,Present in div
0,825,['Do not sell or share my personal information'],True
1,981,['Your Privacy Choices'],True
2,373,"['Do Not Sell My Personal Information', 'Do Not Sell My Personal Information|']",True
3,145,[],False
4,201,[],False
5,726,"['Your Privacy Choices', 'Do Not Share/Sell my Personal Information']",True
6,1052,['Your Opt Out Preference Signal is Honored'],True
7,3,['Do not sell or share my personal information'],True
8,310,['Do Not Sell or Share My Personal Information'],True
9,347,['Do Not Sell or Share My Personal Information'],True
10,524,['Your Privacy Choices'],True
11,916,[],False
12,64,['Your Privacy Choices'],True
13,757,[],False
14,276,[],False
15,666,['Do Not Sell Or Share My Personal Info'],True
16,534,[],False
17,567,"[""Don't sell or share my personal information""]",True
18,1010,[],False
19,396,['Do not sell or share my personal information'],True
20,69,['Do Not Sell or Share My Personal Information'],True
21,1073,[],False
22,486,[],False
23,506,[],False
24,819,['YOUR PRIVACY CHOICES'],True
25,1044,[],False
26,443,[],False
27,378,"['Do Not Sell or Share My Personal Information', 'Do Not Sell My Personal Information']",True
28,830,[],False
29,1017,['Do Not Sell or Share My Personal Information'],True
30,446,['Do not sell or share my personal information'],True
31,992,[],False
32,762,[],False
33,414,[],False
34,1078,[],False
35,236,[],False
36,965,[],False
37,196,"['Your Privacy Choices', 'Do Not Sell/Do Not Share or Opt-Out of Targeted Advertising']",True
38,169,['Your Privacy Choices'],True
39,386,[],False
40,862,['Do not sell or share my personal information'],True
41,305,[],False
42,171,['Your Privacy Choices'],True
43,1034,[],False
44,718,"['Do Not Sell My InformationThis action will open modal dialog', 'Privacy Policy \xa0\xa0\xa0 | \xa0\xa0\xa0Do Not Sell My InformationThis action will open modal dialog']",True
45,501,['Do Not Sell My Personal Information'],True
46,226,[],False
47,18,"['Do Not Sell My Information', 'Terms of UsePrivacy PolicyNotice of Financial IncentiveDo Not Sell My InformationUnited States', 'Terms of UsePrivacy PolicyNotice of Financial IncentiveDo Not Sell My Information']",True
48,889,[],False
49,881,[],False
50,857,['Do Not Sell or Share My Info'],True
51,210,[],False
52,450,[],True
53,714,[],False
54,266,['Your California Privacy Choices'],True
55,204,[],False
56,404,"['Cookie settings | Your Privacy Choices', 'Cookie settings | Your Privacy Choices for this site']",True
57,929,[],False
58,502,[],False
59,649,['Your Privacy Choices'],True
60,339,[],False
61,400,['Manage cookies/Do not sell my data'],True
62,184,['Do Not Sell or Share My Personal Information'],True
63,865,['Do Not Sell My Personal Information'],True
64,410,[],False
65,146,['Do Not Sell or Share My Personal Information'],True
66,1039,[],False
67,547,[],False
68,1057,[],False
69,752,[],False
70,21,['Do not sell or share my personal information'],True
71,1084,['Do Not Sell My Personal Information'],True
72,182,"['Do Not Sell My Info/Cookie Policy', 'Do Not Sell My Data']",True
73,1016,['Your Privacy Choices'],True
74,672,['Your Privacy Choices'],True
75,882,[],False
76,926,['Do Not Sell or Share My Information'],True
77,626,['Your Privacy Choices'],True
78,616,[],False
79,391,[],False
80,808,['Your Privacy Choices'],True
81,455,[],False
82,763,['Your Privacy Choices'],True
83,601,[],False
84,57,[],False
85,1028,['do not sell my data'],True
86,685,['Do Not Sell My Personal Information'],True
87,487,['Your Privacy Choices'],True
88,425,['Do not sell or share my personal information'],True
89,979,['Do Not Sell or Share My Personal Information'],True
90,978,[],False
91,518,[],False
92,803,[],True
93,133,[],False
94,76,"['Your Privacy Choices', 'Do Not Sell or Share My Personal Information']",True
95,1025,['Your Privacy Choices'],True
96,453,[],False
97,688,['Do Not Sell or Share My Personal Information'],True
98,511,[],False
99,260,[],False
100,510,"['Do Not Sell or Share My Personal Information', 'Your Opt Out Preference Signal is Honored']",True
101,888,['Do Not Sell My Personal Information'],True
102,303,['Do Not Sell My Personal Information'],True
103,208,['Your privacy choices'],True
104,1060,[],False
105,141,['Do Not Sell or Share My Personal Information'],True
106,905,[],False
107,313,[],False
108,39,['Do Not Sell or Share My Personal Information'],True
109,536,[],False
110,816,['Do Not Sell My Personal Information'],True
111,956,[],False
112,51,['Do Not Sell or Share My Personal Information'],True
113,50,['Do Not Sell or Share My Personal Information or Limit the Use of My Sensitive Personal Information'],True
114,827,[],False
115,218,['Do Not Sell or Share My Personal Information'],True
116,472,['Do not sell my info:'],True
117,864,['California Notice / Do Not Sell My Personal Information'],True
118,62,['Do Not Sell My Personal Information'],True
119,1080,[],False
120,40,[],False
121,982,['Do Not Sell My Personal Information'],True
122,811,"['YOUR PRIVACY CHOICES', 'YOUR PRIVACY CHOICES']",True
123,32,['Do Not Sell or Share My Personal Information'],True
124,82,[],False
125,445,['Do not sell or share my personal information'],True
126,696,[],False
127,227,[],False
128,759,['Do Not Sell or Share My Personal Information'],True
129,503,"['Do not Sell or Share My Personal Data', 'Do Not Sell My Personal Information']",True
130,739,['Do Not Sell or Share My Personal Information'],True
131,505,['Do Not Sell My Personal Information'],True
132,413,[],False
133,537,"['Do Not Sell/Share My Personal Information', 'Privacy Policy Trademarks Do Not Sell/Share My Personal Information']",True
134,1043,['Do Not Share My Personal Information'],True
135,904,[],False
136,532,[],False
137,689,[],False
138,994,['Do Not Sell or Share My Information'],True
139,13,['Do Not Sell My Personal Information'],True
140,25,[],False
141,350,[],False
142,1003,[],False
143,441,[],False
144,366,"['Do not Sell or Share My Personal Information', 'Your Privacy Choices and Cookie Preferences [`dialog closed`]']",True
145,130,['Do Not Sell or Share My Personal Information'],True
146,1036,[],False
147,496,['Do Not Sell My Personal Information'],True
148,154,[],False
149,267,['Your California Privacy Choices'],True
150,584,[],False
151,280,['Do not sell my info'],True
152,669,['Your Privacy Choices'],True
153,583,['Do Not Sell or Share My Personal Information'],True
154,977,"['Your Privacy Choices', 'Your Opt Out Preference Signal is Honored']",True
155,324,[],False
156,943,['Your California Privacy Choices'],True
157,314,[],False
158,951,[],False
159,142,['Do Not Sell or Share My Personal Information'],True
160,967,['Do Not Sell My Personal Information'],True
161,71,['Do Not Sell or Share My Personal Information'],True
162,407,['Cookie settings | Your Privacy Choices'],True
163,783,[],False
164,75,['Do not sell my personal information'],True
165,954,[],False
166,124,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
167,613,['Do Not Sell or Share My Personal Information - Currently Sharing'],True
168,522,[],False
169,548,[],False
170,648,[],False
171,252,['Do Not Sell or Share My Personal Information (Personal Data Opt-out)'],True
172,439,[],False
173,144,[],False
174,602,['Do Not Sell Or Share My Personal Information'],True
175,908,[],False
176,357,"['Do Not Sell or Share My Personal Information', 'Your Opt Out Preference Signal is Honored']",True
177,878,[],True
178,903,[],False
179,612,[],False
180,287,[],False
181,234,[],False
182,394,[],False
183,899,[],False
184,751,[],False
185,775,['Do Not Sell My Personal Information'],True
186,774,['Do Not Sell or Share My Personal Information'],True
187,624,[],False
188,436,[],True
189,438,[],False
190,126,['Do Not Sell or Share My Personal Information'],True
191,390,[],False
192,116,['Do Not Sell My Personal Information'],True
193,721,['Do Not Sell or Share My Personal Information'],True
194,296,['Do Not Sell My Personal Information'],True
195,202,[],False
196,1088,[],False
197,131,"['Do Not Sell My Info |', 'Help Center | Terms & Conditions | Privacy Policy | California Privacy Policy | California Notice of Collection | Do Not Sell My Info | California Supply Chain Disclosure']",True
198,630,['Your Privacy Choices'],True
199,958,['Do Not Sell Or Share My Personal Information'],True
200,480,[],False
201,34,"['Do Not Sell or Share My Personal Information', 'You can opt out of receiving promotional emails by clicking My Account and changing your email']",True
202,898,[],False
203,1050,[],False
204,294,"['Do Not Sell or Share My Personal Information', 'Terms of Use | Privacy Policy | Interest-Based Ads | Licenses | Accessibility | Do Not Sell or Share My Personal InformationDo Not Sell or Share My Personal Information | Sitemap']",True
205,119,['Do not sell or share my info'],True
206,168,"['Do Not Sell or Share My Personal Information', 'Opt out']",True
207,411,[],False
208,621,[],False
209,998,[],False
210,1074,['Do Not Sell/Share My Personal Information opens in new window'],True
211,67,[],False
212,382,[],False
213,346,['Do Not Sell My Personal Information'],True
214,727,[],False
215,766,['Do not sell my info'],True
216,493,['Do Not Sell My Personal Information'],True
217,166,['Do Not Sell My Personal Information'],True
218,482,['Do not sell or share my personal information'],True
219,678,[],False
220,297,[],False
221,699,"['Targeted Advertising Opt Out', 'Do Not Sell or Share My Information']",True
222,1072,[],False
223,1018,['Do Not Sell or Share My Personal Information'],True
224,333,[],False
225,417,[],False
226,340,[],False
227,631,['Do not sell my info'],True
228,512,[],False
229,651,[],False
230,485,"['Your Privacy Choices', 'Your Opt Out Preference Signal is Honored']",True
231,1002,[],False
232,426,['Manage cookies/Do not sell my data'],True
233,654,[],False
234,217,['Do not sell or share my personal information'],True
235,12,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
236,952,['Do Not Sell or Share My Personal Data'],True
237,618,[],False
238,931,[],False
239,768,['Do Not Sell My Personal Information'],True
240,1027,['Do Not Sell/Share My Personal Information'],True
241,1076,[],False
242,681,[],False
243,312,['Ad Opt out/ Do Not Sell My Personal Information'],True
244,483,['Do Not Sell My Data'],True
245,300,['Do Not Sell or Share My Personal Information'],True
246,463,['Do not sell my info:'],True
247,160,"['Do not sell my info', 'Do Not Sell My Information']",True
248,833,['Do Not Sell My Personal Information'],True
249,489,"['Your Privacy Choices', 'Your Opt Out Preference Signal is Honored']",True
250,190,['Your Privacy Choices'],True
251,223,['Do Not Share My Information/SPI'],True
252,523,[],False
253,321,[],False
254,625,[],False
255,263,[],False
256,603,['Do Not Sell My Personal Information'],True
257,782,[],False
258,909,[],False
259,858,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
260,969,['Your Privacy Choices'],True
261,254,[],False
262,520,[],False
263,434,[],False
264,698,['Your Privacy Choices'],True
265,644,[],False
266,731,[],False
267,514,[],False
268,565,[],False
269,529,[],False
270,694,['Do Not Sell My Personal Info'],True
271,70,[],False
272,376,"['Do Not Sell or Share My Personal Information', 'request for further opt out of sale of your personal information']",True
273,769,['Do Not Sell My Personal Information'],True
274,97,['Do not sell my personal information'],True
275,230,['Manage cookies / Do not sell my data'],True
276,1058,['Do Not Sell or Share My Personal Information'],True
277,84,[],False
278,995,[],False
279,798,['Do Not Sell My Personal Information'],True
280,773,[],False
281,95,['Privacy / Do not sell my personal info'],True
282,799,[],True
283,1001,[],False
284,1085,[],False
285,1070,[],False
286,356,"['Do Not Sell or Share My Personal Information', 'Terms of Use | Privacy Policy | Interest-Based Ads | Licenses | Accessibility | Do Not Sell or Share My Personal InformationDo Not Sell or Share My Personal Information | Sitemap']",True
287,549,[],False
288,114,['Do Not Sell My Personal Info'],True
289,335,[],False
290,756,[],False
291,755,['Do Not Sell or Share My Personal Information'],True
292,658,['Your California Privacy Choices'],True
293,421,['Do Not Sell My Personal Information'],True
294,851,[],False
295,112,[],False
296,1056,[],False
297,815,['Your Privacy Choices'],True
298,359,['Do Not Sell/Share My Personal Information'],True
299,338,[],False
300,991,[],False
301,679,['Do Not Sell or Share My Personal Information'],True
302,331,[],False
303,29,[],False
304,578,['Do not sell my personal information'],True
305,253,[],False
306,113,['Do Not Sell or Share My Personal Information'],True
307,656,['Do Not Sell My'],True
308,957,['Your Ads Privacy Choices'],True
309,358,['Do Not Sell or Share My Personal Information'],True
310,750,['Opt Out'],True
311,348,[],False
312,887,[],False
313,1012,[],False
314,643,[],False
315,1035,[],False
316,697,[],False
317,839,['Your Privacy Choices'],True
318,953,[],False
319,834,['Do Not Sell My Personal Information'],True
320,24,['Do Not Sell or Share My Personal Information'],True
321,281,[],False
322,701,[],False
323,934,[],False
324,304,['DO NOT SELL MY DATA'],True
325,748,[],True
326,479,[],False
