,Index,Word list,Present in div
172,602,['Do Not Sell Or Share My Personal Information'],True
173,908,[],False
174,357,"['Do Not Sell or Share My Personal Information', 'Your Opt Out Preference Signal is Honored']",True
175,878,[],True
176,903,[],False
177,612,[],False
178,234,[],False
179,394,[],False
180,899,[],False
181,751,[],False
182,775,['Do Not Sell My Personal Information'],True
183,774,['Do Not Sell or Share My Personal Information'],True
184,624,[],False
185,436,[],True
186,438,[],False
187,126,['Do Not Sell or Share My Personal Information'],True
188,390,[],False
189,116,['Do Not Sell My Personal Information'],True
190,721,['Do Not Sell or Share My Personal Information'],True
191,296,['Do Not Sell My Personal Infomation'],True
192,202,[],False
193,1088,[],False
194,131,"['Do Not Sell My Info |', 'Help Center | Terms & Conditions | Privacy Policy | California Privacy Policy | California Notice of Collection | Do Not Sell My Info | California Supply Chain Disclosure']",True
195,630,['Your Privacy Choices'],True
196,958,['Do Not Sell Or Share My Personal Information'],True
197,480,[],False
198,34,"['Do Not Sell or Share My Personal Information', 'You can opt out of receiving promotional emails by clicking My Account and changing your email']",True
199,898,[],False
200,1050,[],False
201,294,"['Do Not Sell or Share My Personal Information', 'Terms of Use | Privacy Policy | Interest-Based Ads | Licenses | Accessibility | Do Not Sell or Share My Personal InformationDo Not Sell or Share My Personal Information | Sitemap']",True
202,119,['Do not sell or share my info'],True
203,168,"['Do Not Sell or Share My Personal Information', 'Opt out']",True
204,411,[],False
205,621,[],False
206,998,[],False
207,1074,['Do Not Sell/Share My Personal Information opens in new window'],True
208,67,[],False
209,382,['Do Not Sell My Info'],True
210,346,['Do Not Sell My Personal Information'],True
211,727,[],False
212,766,['Do not sell my info'],True
213,493,['Do Not Sell My Personal Information'],True
214,166,['Do Not Sell My Personal Information'],True
215,482,['Do not sell or share my personal information'],True
216,678,[],False
217,297,[],False
218,699,"['Targeted Advertising Opt Out', 'Do Not Sell or Share My Information']",True
219,1072,[],False
220,1018,['Do Not Sell or Share My Personal Information'],True
221,333,[],False
222,417,[],False
223,340,[],False
224,631,['Do not sell my info'],True
225,512,[],False
226,651,[],False
227,485,"['Your Privacy Choices', 'Your Opt Out Preference Signal is Honored']",True
228,1002,[],False
229,426,['Manage cookies/Do not sell my data'],True
230,654,[],False
231,217,['Do not sell or share my personal information'],True
232,12,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
233,952,['Do Not Sell or Share My Personal Data'],True
234,618,[],False
235,931,[],False
236,768,['Do Not Sell My Personal Information'],True
237,1027,['Do Not Sell/Share My Personal Information'],True
238,1076,[],False
239,681,[],False
240,312,['Ad Opt out/ Do Not Sell My Personal Information'],True
241,483,['Do Not Sell My Data'],True
242,300,['Do Not Sell or Share My Personal Information'],True
243,463,['Do not sell my info:'],True
244,160,"['Do not sell my info', 'Do Not Sell My Information']",True
245,833,['Do Not Sell My Personal Information'],True
246,489,"['Your Privacy Choices', 'Your Opt Out Preference Signal is Honored']",True
247,190,['Your Privacy Choices'],True
248,223,['Do Not Share My Information/SPI'],True
249,523,[],False
250,321,[],False
251,625,[],False
252,263,[],False
253,603,['Do Not Sell My Personal Information'],True
254,782,[],False
255,909,[],False
256,858,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
257,969,['Your Privacy Choices'],True
258,254,[],False
259,520,[],False
260,434,[],False
261,698,['Your Privacy Choices'],True
262,644,[],False
263,731,[],False
264,514,[],False
265,565,[],False
266,529,[],False
267,694,['Do Not Sell My Personal Info'],True
268,70,[],False
269,376,"['Do Not Sell or Share My Personal Information', 'request for further opt out of sale of your personal information']",True
270,769,['Do Not Sell My Personal Information'],True
271,97,['Do not sell my personal information'],True
272,230,['Manage cookies / Do not sell my data'],True
273,1058,[],False
274,84,[],False
275,995,[],False
276,798,['Do Not Sell My Personal Information'],True
277,773,[],False
278,95,['Privacy / Do not sell my personal info'],True
279,799,[],True
280,1001,[],False
281,1085,[],False
282,1070,[],False
283,356,"['Do Not Sell or Share My Personal Information', 'Terms of Use | Privacy Policy | Interest-Based Ads | Licenses | Accessibility | Do Not Sell or Share My Personal InformationDo Not Sell or Share My Personal Information | Sitemap']",True
284,549,[],False
285,114,['Do Not Sell My Personal Info'],True
286,335,[],False
287,756,[],False
288,755,['Do Not Sell or Share My Personal Information'],True
289,658,['Your California Privacy Choices'],True
290,421,['Do Not Sell My Personal Information'],True
291,851,[],False
292,112,[],False
293,1056,[],False
294,815,['Your Privacy Choices'],True
295,359,['Do Not Sell/Share My Personal Information'],True
296,338,[],False
297,991,[],False
298,679,['Do Not Sell or Share My Personal Information'],True
299,331,[],False
300,29,[],False
301,578,['Do not sell my personal information'],True
302,253,[],False
303,113,['Do Not Sell or Share My Personal Information'],True
304,656,['Do Not Sell My'],True
305,957,['Your Ads Privacy Choices'],True
306,358,['Do Not Sell or Share My Personal Information'],True
307,750,['Opt Out'],True
308,348,[],False
309,887,[],False
310,643,[],False
311,1035,[],False
312,697,[],False
313,839,['Your Privacy Choices'],True
314,953,[],False
315,834,['Do Not Sell My Personal Information'],True
316,24,['Do Not Sell or Share My Personal Information'],True
317,281,[],False
318,701,[],False
319,934,['Do Not Sell or Share My Info'],True
320,304,['DO NOT SELL MY DATA'],True
321,479,[],False
322,843,['Do Not Sell My Personal Information'],True
323,83,[],False
324,708,"['Do Not Sell My InformationThis action will open modal dialog', 'Privacy Policy  | Do Not Sell My InformationThis action will open modal dialog']",True
325,452,[],False
326,1033,[],False
327,849,['Do Not Sell My Personal Information'],True
328,564,[],False
329,1064,[],False
330,561,[],False
331,786,['Do Not Sell or Share My Personal Information'],True
332,693,['Your Privacy Choices'],True
333,206,[],False
334,605,[],False
335,918,['Your Privacy Choices'],True
336,735,[],False
337,1019,[],True
338,692,['Do Not Sell Or Share My Personal Information'],True
339,558,[],False
340,657,['Do Not Sell My Personal Information'],True
