,category,sub category,website,url,Index,Search key
2,,,90Min.Com,https://www.90min.com/,501,no
3,,,Si.Com,https://www.si.com/,502,no
4,,,Mlb.Com,https://www.mlb.com/,503,yes
5,,,Foxsports.Com,https://www.foxsports.com/,504,yes
6,,,Cbssports.Com,https://www.cbssports.com/,505,yes
7,,,Skihood.Com,https://skihood.com/,506,yes
8,,,Sbnation.Com,https://www.sbnation.com/,507,yes
9,,Telecommunication,Cloudflare.Com,https://www.cloudflare.com/,508,no
10,,,Akamai.Com,https://www.akamai.com/,509,no
11,,,Level3.Com,https://www.lumen.com/en-us/home.html,510,no
12,,,Liquidweb.Com,https://www.liquidweb.com/,511,no
13,,,Limelight.Com,https://edg.io/,512,no
14,,,Keycdn.Com,https://www.keycdn.com/,513,no
15,,,Equinix.Com,https://www.equinix.com/,514,no
16,,,Cdnetworks.Com,https://www.cdnetworks.com/,515,no
17,,,Getambassador.Com,https://www.getambassador.com/,516,no
18,,,Aws.Amazon.Com,https://aws.amazon.com/?aws-products-all.sort-by=item.additionalFields.productNameLowercase&aws-products-all.sort-order=asc&awsf.re%3AInvent=*all&awsf.Free%20Tier%20Type=*all&awsf.tech-category=*all,517,no
19,,Free Email Service,Live.Com,https://outlook.live.com/owa/,518,no
20,,,Icloud.Com,https://www.icloud.com/,519,yes
21,,,Zoho.Com,https://www.zoho.com/,520,no
22,,,Inbox.Com,http://www.inbox.com/tech/,521,no
23,,,Protonmail.Com,https://proton.me/mail,522,no
24,,Search Engines,Google.Com,https://www.google.com/,523,no
25,,,Yahoo.Com,https://www.yahoo.com/,524,no
26,,,Bing.Com,https://www.bing.com/?toWww=1&redig=8625D14D06664A41A50493BB87348445,525,no
27,,,Ask.Com,https://www.ask.com/,526,yes
28,,,Myway.Com,https://hp.myway.com/myway/index.html,527,no
29,,website builders,Weebly.Com,https://www.weebly.com/,528,no
30,,,Wix.Com,https://www.wix.com/,529,no
31,,,Squarespace.Com,https://www.squarespace.com/,530,no
32,,,Jimdo.Com,https://www.jimdo.com/,531,no
33,,,Smugmug.Com,https://www.smugmug.com/,532,no
34,,,Wikidot.Com,http://www.wikidot.com/,533,no
35,,,Webs.Com,https://www.webs.com/,534,no
36,,,Tripod.Com,https://www.tripod.lycos.com/,535,no
37,,,Ucoz.Com,https://www.ucoz.com/#superFooter,536,no
38,Travel,Airfare Websites,Southwest.Com,https://www.southwest.com/,537,yes
39,,,Aa.Com,https://www.aa.com/homePage.do,538,no
40,,,United.Com,https://www.united.com/en/us,539,no
41,,,Delta.Com,https://www.delta.com/,540,no
42,,,Ryanair.Com,https://www.ryanair.com/us/en,541,yes
43,,,Jetblue.Com,https://www.jetblue.com/,542,yes
