,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,213,com_213,[],[],[],[],[]
1,542,jetblue_542,['Do not sell my info'],[],[],[],[]
2,95,etsy_95,[],[],[],[],[]
3,65,zocdoc_65,[''],"['Manage your privacy choices.', 'Your privacy choices']",[],[],[]
4,227,wiley_227,[],[],[],[],[]
5,202,com_202,[],[],[],[],[]
6,350,diy_350,[],[],[],[],[]
7,74,everydayhealth_74,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
8,384,ganeshaspeaks_384,['Do Not Sell or Share My Personal Information'],[],"['Opt out', 'Opt out of the sale or sharing of personal information']",[],[]
9,212,peta_212,[],[],['Current subscribers: You will continue to receive e-mail unless you explicitly opt out by clicking '],[],[]
10,616,nvidia_616,[],[],[],[],[]
11,257,abebooks_257,[],['Your Ads Privacy Choices'],[],[],[]
12,480,realgm_480,[],[],[],[],[]
13,260,vitalsource_260,[],[],[],[],[]
14,442,nasa_442,[],[],[],[],[]
15,354,etsy_354,['Privacy / Do not sell my personal info'],[],[],[],[]
16,313,woot_313,[],[],[],[],[]
17,178,dailymail_178,"['Additionally, although clicking the “Do Not Sell My Info” link will opt you out of the sale of your personal information for advertising purposes, it will not opt you out of the use of previously collected and sold personal information or all context-based advertising.', 'Do not sell or share my personal information', 'Do Not Sell My Info”', 'If you do not wish for us or our partners to use and disclose your personal information to third parties in this manner, which is considered a “sale” under the CCPA, select the applicable control from the “Do Not Sell My Info” link.']",[],"['. You can also control their use on our sites, or opt out of all non-essential site tracking, via our Cookie Settings Tool linked to above. Our Cookie Settings Tool also specifies which partners rely on your consent and which partners rely on legitimate interests to use your data.', 'If you access this site or app from other devices or browsers, visit the link below from those devices or browsers to ensure your choice applies to the data collected when you use those devices or browsers. If you use different browsers, devices or platforms, you will need to opt out on each browser, device or platform.', 'Opt out of interest-based ads', ' tool where we provide you with their details, links to their privacy notices and the ability to opt out of their use.', 'We may match your data with data held by CACI, to add extra lifestyle and demographic insight information to your account with us which we then use to make our marketing more relevant to you (subject to your communication preferences and our internal policies and procedures). We can only obtain this information where they have your permission to share this information with us in line with their privacy policies. You can opt-out of having your personal information profiled in this way by contacting us, or our joint controllers, or adjusting your account settings. For more information about these activities and the data provided, and to opt out of their programmes directly, please visit them at CACI.', 'In relation to email marketing communications, we may send you such communications when we have your consent, or when you are an existing customer who has previously bought or subscribed to a similar product or service from us. You may opt out of email marketing communications when your personal information is first collected as part of that purchase or subscription.', 'To withdraw your consent for those cookies or to otherwise opt out of their services directly, please visit ']",['11. Your rights under the CCPA (for California residents only)'],[]
18,134,livinglocurto_134,['DO NOT SELL OR SHARE MY INFORMATION'],[],[],[],[]
19,30,com_30,[],[],[],[],[]
20,434,nature_434,[],[],[],[],[]
21,295,net_295,"['Do Not Sell or Share My Personal Data', 'Do Not Sell or Share My Personal Information']",[],"['This opt-out request does not apply to third parties that may continue to use cookies or other non-cookie technologies to collect personal information from Slickdeals properties, emails, and texts for interest-based advertising. \xa0To opt out of these third-party practices, you should also use the industry tools that are linked below.', 'OPT OUT OF SALES REQUEST', 'Welcome! Please complete this form to opt out of Slickdeals sales of personal information subject to state privacy laws, including sharing for targeted (cross-context behavioral) advertising. We will respond to such requests to the extent required by law.']",[],[]
22,89,mom365_89,[],[],[],[],[]
23,543,airasia_543,[],[],[],[],[]
24,493,active_493,['Do Not Sell My Personal Information'],[],[],[],[]
25,336,salehoo_336,[],[],[],[],[]
26,69,medicinenet_69,['Do Not Sell or Share My Personal Information'],[],"['. I also agree to receive emails from MedicineNet and I understand that I may opt out of MedicineNet subscriptions at any time.\n        ', '\n\t\t\t\t\t\t\tand understand that I may opt out at any time.\n\t\t\t\t\t', ' Under applicable state privacy laws, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.  If you opt out we will not be able to offer you personalized ads and will not hand over your personal information to any third parties. Additionally, you may contact us for further clarification about your rights under applicable state\xa0privacy laws as noted in our privacy policy. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
27,219,amazon_219,[],['Your Ads Privacy Choices'],[],[],[]
28,133,com_133,[],[],[],[],[]
29,345,apple_345,[],[],[],[],[]
30,93,com_93,"['Do Not Sell Or Share My Personal Information', 'Do not sell or share my personal information.']",[],[],[],[]
31,215,dogster_215,['DO NOT SELL MY INFORMATION'],[],[],[],[]
32,15,thepioneerwoman_15,[],"['', 'Your Privacy Choices', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']","['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'DAA Industry Opt Out']",[],[]
33,42,panerabread_42,[],['\n    \n    Your Privacy Choices\n  '],[],[],[]
34,551,tripadvisor_551,['Do Not Sell My Personal Information'],[],[],[],[]
35,362,microsoft_362,[],['Your California Privacy Choices'],[],[],[]
36,593,bestbuy_593,"['Do Not Sell Or Share My Personal Information', ""\n\t\t\t\t\t\t\t\tWe don't ask for your personally identifiable information because we don't need it to \n\t\t\t\t\t\t\t\thonor your Do Not Sell request.\n\t\t\t\t\t\t\t"", 'Do Not Sell My Personal Information', ""\n\t\t\t\t\t\tA Do Not Share request will cause us to take actions designed to stop cross-context behavioral \n\t\t\t\t\t\tadvertising to you (which in Best Buy's context means attempting to place advertisements \n\t\t\t\t\t\tintended for you on others' digital properties). Please look for the “Do Not Sell Or Share My \n\t\t\t\t\t\tPersonal Information” options box on this page, select your state of residence, click the blue \n\t\t\t\t\t\t“Do Not Sell Or Share My Personal Information” button, and provide the information requested.\n\t\t\t\t\t\tWe also will honor a Do Not Sell request from this website when you do so (more information on \n\t\t\t\t\t\tDo Not Sell follows). For our mobile app, go to My Account, click on My App Settings and \n\t\t\t\t\t\tlocate the Privacy section. It may take us up to 15 days to process your request here or in \n\t\t\t\t\t\tour app.\n\t\t\t\t\t"", '""Do Not Sell""', ""\n\t\t\t\t\t\tWhen you activate the Do Not Sell function of our mobile app, the app will no longer make \n\t\t\t\t\t\tpersonal information available to our advertising partners for their own use, independent of \n\t\t\t\t\t\tBest Buy. It's also possible that portions of the app may not function as intended. If you \n\t\t\t\t\t\tdelete the app, you will need to adjust your settings to opt-out if you ever reinstall the app.\n\t\t\t\t\t"", ""\n\t\t\t\t\t\t\tIf you click the “Do Not Sell Or Share My Personal Information” or “Do Not Sell My \n\t\t\t\t\t\t\tPersonal Information” on this website, your Do Not Sell selection will not transfer to our \n\t\t\t\t\t\t\tmobile app. Similarly, your activation of the Do Not Sell feature on the mobile app won't \n\t\t\t\t\t\t\tapply to bestbuy.com. You'll need to do both.\n\t\t\t\t\t\t"", 'California Do Not Sell Or Share My Personal Information', ""\n\t\t\t\t\t\t\t\tIf you delete or clear cookies, you'll need to click the button again the next time \n\t\t\t\t\t\t\t\tyou visit to re-select Do Not Sell.\n\t\t\t\t\t\t\t"", '\n\t\t\t\t\t\tIf you have enabled Global Privacy Control, we will recognize the GPC signal as a Do Not Sell \n\t\t\t\t\t\trequest. We will treat that request in the same manner as if you hit the “Do Not Sell My \n\t\t\t\t\t\tPersonal Information” button on this website. If you also wish to request that we not share \n\t\t\t\t\t\tpersonal information about you for cross-context behavioral advertising, please go to the \n\t\t\t\t\t\toptions box on the left of this page, select your state of residence, hit the blue “Do Not \n\t\t\t\t\t\tSell Or Share My Personal Information” button, and provide the information requested.\n\t\t\t\t\t', ""\n\t\t\t\t\t\t\t\tYour Do Not Sell selection won't cross from the website to mobile application (or the \n\t\t\t\t\t\t\t\tother way round): \n\t\t\t\t\t\t\t"", '\n\t\t\t\t\t\t\tFor example, we may capture and share an identifier or IP address of a device you are using \n\t\t\t\t\t\t\tto visit our website, but not have tied that information to you. With this method, we are \n\t\t\t\t\t\t\tbetter ensuring that we honor the intent of your Do Not Sell request, versus just taking \n\t\t\t\t\t\t\tyour name and address.\n\t\t\t\t\t\t', 'What will happen after I select a Do Not Sell option?', '\n\t\t\t\t\t\tAfter you click the “Do Not Sell Or Share My Personal Information” button or the “Do Not Sell \n\t\t\t\t\t\tMy Personal Information” button on this website:\n\t\t\t\t\t', ""Why don't you take my name and contact information instead for Do Not Sell?"", '\n\t\t\t\t\t\tFor our website, click on the “Do Not Sell Or Share My Personal Information” or “Do Not Sell \n\t\t\t\t\t\tMy Personal Information” button on the left side of this page. For our mobile app, go to My \n\t\t\t\t\t\tAccount, click on My App Settings and locate the Privacy section.\n\t\t\t\t\t', 'A few things to keep in mind regarding Do Not Sell.', '\n\t\t\t\t\t\t\tAn opt-out cookie will be placed and stored on your browser, for Do Not Sell purposes, \n\t\t\t\t\t\t\tpreventing personal information from being made available from this website to \n\t\t\t\t\t\t\tadvertising partners for their own use, independent of Best Buy.\n\t\t\t\t\t\t']",[],[],"['""Do Not Share"" for California Residents']","[""\n\t\t\t\t\t\tA Do Not Share request will cause us to take actions designed to stop cross-context behavioral \n\t\t\t\t\t\tadvertising to you (which in Best Buy's context means attempting to place advertisements \n\t\t\t\t\t\tintended for you on others' digital properties). Please look for the “Do Not Sell Or Share My \n\t\t\t\t\t\tPersonal Information” options box on this page, select your state of residence, click the blue \n\t\t\t\t\t\t“Do Not Sell Or Share My Personal Information” button, and provide the information requested.\n\t\t\t\t\t\tWe also will honor a Do Not Sell request from this website when you do so (more information on \n\t\t\t\t\t\tDo Not Sell follows). For our mobile app, go to My Account, click on My App Settings and \n\t\t\t\t\t\tlocate the Privacy section. It may take us up to 15 days to process your request here or in \n\t\t\t\t\t\tour app.\n\t\t\t\t\t""]"
