,Index,Url rendered,Actual url,Page jump
32,483,usatoday.com/?gps-source=BRNMSVCPSKSTT,https://hoopshype.com/,Yes
83,245,mediasama.com/starharem/05/n/2cep=y9unk\,http://ebook3000.com/,Yes
88,1011,shutterstock.com/image-vector/set-brochure-,https://all-free-download.com/,Yes
109,1054,deloitte.com/alobal/enyissues/climate/conter,https://www.forbes.com/?sh=112eecaf2254,Yes
112,467,americanexpress.com/en-us/banking/online-s,https://www.convertunits.com/,Yes
134,228,chromnius.download/browsert /2mrddp=18&m,http://ebook3000.com/,Yes
157,1015,deloitte.com/alobal/enyissues/climate/conter,https://www.forbes.com/?sh=112eecaf2254,Yes
199,149,nbc.com/night-court,https://nypost.com/,Yes
