,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
56,563,com_563,[],[],[],[],[]
57,232,audible_232,[],['Your Ads Privacy Choices'],[],[],[]
58,231,com_231,['Do Not Sell My Info'],[],[],[],[]
59,382,astrology_382,['Do Not Sell My Info'],[],[],[],[]
60,164,dailykos_164,['Do Not Sell My Info'],[],[],[],[]
61,802,carwale_802,[],[],[],[],[]
62,997,com_997,['Do Not Sell'],[],[],[],[]
63,477,calculatorsoup_477,[],[],[],[],[]
64,467,convertunits_467,[],[],[],[],[]
65,70,cdc_70,[],[],[],[],[]
66,909,designcrowd_909,[],[],[],[],[]
67,334,dollardays_334,['Do Not Sell My Information'],[],[],[],[]
68,796,carmax_796,['Do Not Sell or Share My Information'],[],[],[],[]
69,110,biglots_110,['California Customers Only: Do Not Sell My Info'],[],[],[],[]
70,632,com_632,['Do Not Sell or Share My Personal Information'],[],[],[],[]
71,318,com_318,[],[],[],[],[]
72,112,ashleyfurniture_112,[],[],[''],[],[]
73,1053,chase_1053,[],[],[],[],[]
74,898,behance_898,[],[],[],[],[]
75,858,cosmopolitan_858,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'DAA Industry Opt Out']",[],[]
76,999,cirquedusoleil_999,"['Do Not Sell or Share My Personal Data', 'Do Not Sell or Share My Personal Information']",[],"['Under the CPRA, you have the right to opt-out of the sale or sharing of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale or sharing of personal information by using this toggle switch. If you opt out we will not be able to offer you personalized ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
77,141,com_141,"[' Do Not Sell or Share My Personal Information', 'Do Not Sell or Share My Personal Information']",[],"['Under the California Consumer Privacy Act (CCPA) you have the right to opt-out of the sale of your personal information and the sharing of your personal information to third parties for cross-context behavioral advertsing. Other state privacy laws similar to the CCPA allow individuals similar rights. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
78,587,com_587,[],[],[],[],[]
79,973,com_973,['Do Not Sell My Personal Information'],[],[],[],[]
80,47,bet9ja_47,[],[],[],[],[]
81,799,carfax_799,[],[],[],[],[]
82,125,bhg_125,['Do Not Sell My Personal Information'],[],[],[],[]
83,175,credoaction_175,[],[],[],[],[]
84,298,coupons_298,[],['Your Privacy Choices'],[],[],[]
85,557,cheapoair_557,['Do Not Sell My Personal Information'],[],[],[],[]
86,456,allaboutcircuits_456,[],[],[],[],[]
87,496,competitor_496,[],[],[],[],[]
88,1081,ed_1081,[],[],[],[],[]
89,941,coursera_941,[],[],[],[],[]
90,732,brastop_732,[],[],[],[],[]
91,636,avira_636,"['', ""\n                                                        Free forever. We don't sell your data.\n                                                    "", 'Do Not Sell or Share My Personal Data']",[],[],[],[]
92,779,com_779,[],[],[],[],[]
93,685,asos_685,[],[],[],[],[]
94,968,deviantart_968,[],[],[],[],[]
95,875,com_875,[],[],[],[],[]
96,737,com_737,['Do not sell my personal information'],[],[],[],[]
97,483,com_483,[],[],[],[],[]
98,664,cnet_664,"['', '\n      Do Not Sell or Share My Personal Information\n    ']",[],[],[],[]
99,662,com_662,[],[],[],[],[]
100,886,coursera_886,[],[],[],[],[]
101,621,com_621,['Do Not Sell My Personal Information'],[],[],[],[]
102,431,eia_431,[],[],[],[],[]
103,641,bitdefender_641,[],[],[],[],[]
104,642,comodo_642,[],[],[],[],[]
105,272,bbb_272,[],[],[],[],[]
106,1046,citi_1046,['Do Not Sell or Share My Personal Information'],[],[],[],[]
107,816,bmwusa_816,[' Do Not Sell My Personal Information'],[],[],[],[]
108,338,doba_338,[],[],[],[],[]
109,96,deviantart_96,[],[],[],[],[]
110,271,com_271,[],['Your Privacy Choices'],['Your Opt Out Preference Signal is Honored'],[],[]
111,806,copart_806,[],[],[],[],[]
112,344,ebay_344,[],['Your Privacy Choices'],[],[],[]
113,900,com_900,[],[],[],[],[]
114,736,bravissimo_736,[],[],[],[],[]
115,100,allposters_100,[],[' Your Privacy Choices'],[],[],[]
116,1089,allrecipes_1089,['Do Not Sell My Personal Information'],[],[],[],[]
117,791,edmunds_791,['Do Not Sell or Share My Personal Information'],[],[],[],[]
118,944,codecademy_944,['Do Not Sell My Personal Information'],[],[],[],[]
119,588,com_588,[''],[],[],[],[]
120,904,dice_904,[],[],[],[],[]
121,351,bestbuy_351,"['', 'CA Do Not Sell/Share My Personal Information']",[],"['', 'Targeted Advertising Opt Out']",[],[]
122,1033,com_1033,[],[],[],[],[]
123,402,biomedcentral_402,['Manage cookies/Do not sell my data'],[],[],[],[]
124,479,basketball-reference_479,[],[],[],[],[]
125,253,com_253,[],[],[],[],[]
126,942,edx_942,['Do Not Sell My Personal Information'],[],[],[],[]
127,965,azlyrics_965,[],[],[],[],[]
128,797,carsforsale_797,[],[],[],[],[]
129,864,com_864,['California Notice / Do Not Sell My Personal Information'],[],[],[],[]
130,637,broadcom_637,[],[],[],[],[]
131,849,co_849,[],[],[],[],[]
132,1021,cnn_1021,[''],[],[],[],[]
133,925,careerbuilder_925,['Do Not Sell My Personal Information'],[],[],[],[]
134,193,audubon_193,[],[],[],[],[]
135,742,dxl_742,"['', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
136,1071,cigna_1071,[],[],[],[],[]
137,233,chegg_233,"['', 'DO NOT SELL MY INFO', 'Do Not Sell My Personal Information']","['', 'Your Privacy Choices']","['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.', 'Go to Opt Out Form ']",[],[]
138,1048,capitalone_1048,[],[],[],[],[]
139,1018,bloomberg_1018,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
140,558,bookingbuddy_558,[],[],[],[],[]
141,712,bluenile_712,[],[],[],[],[]
142,981,com_981,[''],[],[],[],[]
143,795,cars_795,['Do Not Sell My Personal Information'],[],[],[],[]
144,506,com_506,[],[],[],[],[]
145,391,com_391,[],[],[],[],[]
146,854,birchbox_854,[],[],[],[],[]
147,984,com_984,[''],[],"['', 'Ad Data Opt Out']",[],['']
148,1012,com_1012,[],[],[],[],[]
149,626,com_626,[],['Your Privacy Choices'],[],[],[]
150,148,com_148,[],[],[],[],[]
151,1013,com_1013,[],[],[],[],[]
152,408,broadinstitute_408,[],[],[],[],[]
153,378,burlington_378,"[' Do Not Sell or Share My Personal Information', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
154,348,craigslist_348,[],[],[],[],[]
155,372,bloomingdales_372,"['', 'Do Not Sell or Share My Personal Information', 'Do Not Sell My Personal Information']",[],"['These cookies collect information for analytics and to personalize your experience with targeted ads. If you opt out we will not be able to offer you personalized ads and will not share personal information with any third parties. ', 'Your Opt Out Preference Signal is Honored']",[],[]
156,103,art_103,[],"['', 'Your Privacy Choices']",[],[],[]
157,913,coroflot_913,[],[],[],[],[]
158,871,com_871,['Do Not Sell My Personal Information'],[],[],[],[]
159,371,dillards_371,[],[],[],[],[]
160,996,co_996,[],[],[],[],[]
161,880,blackboard_880,"['Do Not Sell My Personal Information', 'Do Not Sell My PI']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
162,1038,americanexpress_1038,[],[],[],[],[]
163,312,bizrate_312,['Ad Opt out/ Do Not Sell My Personal Information'],[],['Ad Opt out/ Do Not Sell My Personal Information'],[],[]
164,659,com_659,[],[],[],[''],[]
165,389,com_389,[],[],[],[],[]
166,124,countryliving_124,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'DAA Industry Opt Out']",[],[]
167,661,com_661,[],[],[],[],[]
168,867,boldsky_867,[],[],[],[],[]
169,1088,com_1088,[],[],[],[],[]
170,255,com_255,[],[],[],[],[]
171,92,com_92,[],[],[],[],[]
172,157,cnn_157,[],[],[],[],[]
173,936,com_936,[],[],[],[],[]
174,101,com_101,[],[],[],[],[]
175,454,d2l_454,['Do Not Sell My PI'],[],[],[],[]
176,173,alternet_173,[],[],[],[],[]
177,540,delta_540,[],[],[],[],[]
178,445,autodesk_445,['Do not sell or share my personal information'],[],[],[],[]
179,406,biologyonline_406,[],[],[],[],[]
180,1070,allstate_1070,[],[],[],[],[]
181,463,asknumbers_463,[],[],[''],[],[]
182,899,behance_899,[],[],[],[],[]
183,259,bkstr_259,"['Do Not Sell My Info - CA only', 'Do Not Sell My Personal Information']",[],[],[],[]
184,979,discogs_979,[],[],[],[],[]
