,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
0,894,education_894,[],[],['Opt Out'],[],[]
1,542,jetblue_542,['Do not sell my info'],[],[],[],[]
2,1079,ehealthinsurance_1079,[],[],[],[],[]
3,95,etsy_95,['Privacy / Do not sell my personal info'],[],[],[],[]
4,65,zocdoc_65,[''],"['Manage your privacy choices.', 'Your privacy choices']",[],[],[]
5,1005,shutterstock_1005,['Do Not Sell My Personal Information'],[],[],[],[]
6,227,wiley_227,[],[],[],[],[]
7,803,com_803,['Do Not Sell My Personal Information'],[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.']",[],[]
8,350,diy_350,[],[],[],[],[]
9,697,ssense_697,[],[],[],[],[]
10,935,geeksforgeeks_935,[],[],[],[],[]
11,1065,acg_1065,[],[],[],[],[]
12,74,everydayhealth_74,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
13,384,ganeshaspeaks_384,[],[],[],[],[]
14,990,stubhub_990,[],[],[],[],[]
15,1047,pnc_1047,[],[],[],['Read a summary of privacy rights for California residents'],[]
16,212,peta_212,[],[],['Current subscribers: You will continue to receive e-mail unless you explicitly opt out by clicking '],[],[]
17,838,ulta_838,"['', 'Do Not Sell My Info', 'Do Not Sell My Personal Information']",[],"[' Clearing your browser cookies at any time will undo preferences saved here. To re-save preferences, please return to this screen after clearing your cookies. Also, please note that the option selected here will only apply to the device you are currently using.  You may also opt out of advertising cookies from any other devices you use to access our website or mobile applications.']",[],[]
18,866,harpersbazaar_866,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
19,380,horoscope_380,['Do Not Sell My Info'],[],[],[],[]
20,616,nvidia_616,[],[],[],[],[]
21,257,abebooks_257,[],[],[],[],[]
22,480,realgm_480,[],[],"['NBPA Does Not Intend To Opt Out Of CBA, Will Be Disappointed If NBA Chooses That Option']",[],[]
23,260,vitalsource_260,[],[],[],[],[]
24,442,nasa_442,[],[],[],[],[]
25,354,etsy_354,['Privacy / Do not sell my personal info'],[],[],[],[]
26,313,woot_313,[],[],[],[],[]
27,178,dailymail_178,['Do not sell or share my personal information'],[],[],[],[]
28,134,livinglocurto_134,['DO NOT SELL OR SHARE MY INFORMATION'],[],[],[],[]
29,840,fragrantica_840,[],[],[],[],[]
30,434,nature_434,[],[],[],[],[]
31,295,net_295,['Do Not Sell or Share My Personal Information'],[],[],[],[]
32,89,mom365_89,[],[],[],[],[]
33,1059,libertymutual_1059,['Do Not Sell or Share My Personal Information (CA Residents Only)'],['Your California Privacy Choices'],[],[],[]
34,493,active_493,['Do Not Sell My Personal Information'],[],[],[],[]
35,1030,ft_1030,['Do Not Sell or Share My Personal Information'],[],[],[],[]
36,336,salehoo_336,[],[],[],[],[]
37,69,medicinenet_69,['Do Not Sell or Share My Personal Information'],[],"['. I also agree to receive emails from MedicineNet and I understand that I may opt out of MedicineNet subscriptions at any time.\n        ', ' Under applicable state privacy laws, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.  If you opt out we will not be able to offer you personalized ads and will not hand over your personal information to any third parties. Additionally, you may contact us for further clarification about your rights under applicable state\xa0privacy laws as noted in our privacy policy. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
38,215,dogster_215,['DO NOT SELL MY INFORMATION'],[],[],[],[]
39,15,thepioneerwoman_15,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
40,42,panerabread_42,[],['\n    \n    Your Privacy Choices\n  '],[],[],[]
41,551,tripadvisor_551,['Do Not Sell My Personal Information'],[],[],[],[]
42,362,microsoft_362,[],['Your California Privacy Choices'],[],[],[]
43,782,net_782,[],[],[],[],[]
44,776,luxottica_776,['Do not sell or share my personal information'],[],[],[],[]
45,8,thrillist_8,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
46,400,nature_400,['Manage cookies/Do not sell my data\n                '],[],[],[],[]
47,639,malwarebytes_639,"['Do Not Sell My Personal Information', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
48,872,lifeandstylemag_872,"['Do Not Sell', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.']",[],[]
49,126,curbed_126,['Do Not Sell or Share My Personal Information'],[],[],[],[]
50,1017,wsj_1017,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
51,573,vrbo_573,[],"['', 'Your Privacy Choices']",[],[],[]
52,299,rakuten_299,['Do Not Sell or Share My Personal Information / Personal Data Opt-out'],[],[],[],[]
53,633,kaspersky_633,['Do not sell or share my personal information'],[],[],[],[]
54,393,jpl_393,[],[],[],[],[]
55,44,tacobell_44,[],[],[],[],[]
56,1066,progressive_1066,['Do Not Sell or Share My Personal Information (CA Residents Only)'],[],[],[],[]
57,718,jared_718,['Do Not Sell My Information'],[],[],[],[]
58,67,nih_67,[],[],[],[],[]
59,140,foxnews_140,[],['Your Privacy Choices'],[],[],[]
60,390,esa_390,[],[],[],[],[]
61,268,yelp_268,[],"['', 'Your Privacy Choices']",[],[],[]
62,694,urbanoutfitters_694,"['', 'Do Not Sell My Personal Info']",[],[''],[''],[]
63,241,librarything_241,[],[],[],[],[]
64,381,space_381,"['', 'Do not sell or share my personal information']",[],[],[],[]
65,926,salary_926,['Do Not Sell or Share My Information'],[],[],[],[]
66,337,wholesalecentral_337,[],[],[],[],[]
67,237,goodreads_237,[],[],[],[],[]
68,236,jstor_236,[],[],[],[],[]
69,116,treehugger_116,['Do Not Sell My Personal Information'],[],[],[],[]
70,537,southwest_537,['Do Not Sell/Share My Personal Information'],[],[],[],[]
71,471,wolfram_471,[],[],[],[],[]
72,120,hgtv_120,['Do Not Sell or Share My Personal Information'],[],[],['For California Residents Only'],[]
73,109,pier1_109,['\n          Do not sell or share my personal information\n'],[],[],[],[]
74,163,go_163,"['', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights', 'Do Not Sell or Share My Personal Information']",[],"[' If you opt out, you may continue to see advertising, including ads that may be based on personal information processed before you opted out.', ' Please note that, because these activities are based on online cookies, your opt-out choice is specific to this property. If you access other digital properties of the Walt Disney Family of Companies, you will need to make your election for each. Also, if you clear your cookies on this browser or use another browser or device, you may need to opt out again on this property. ', ' You also may have rights to opt out from certain third parties selling and sharing your personal information. You will need to separately exercise your opt-out rights with regard to each, which you may do through this ', 'Some states provide residents (or, in some cases, their authorized agents) with the right to opt out of “targeted advertising,” “selling,” or “sharing” of personal information. Please visit', ' You may also choose to enable online, where available, a universal tool that automatically communicates your opt-out preferences, such as the Global Privacy Control (“GPC”). We will process the GPC signal as a request to opt out.', 'Notice of Right to Opt Out of Sale/Sharing', 'You or your legally authorized agent can move the toggle above to the left to opt out of these activities on this digital property consistent with applicable law.']",[],[]
75,725,fredericks_725,[],[],['Opt Out'],[],[]
76,844,maccosmetics_844,"['', 'Do Not Sell or Share My Personal Information / Targeted Ads', 'DO NOT SELL OR SHARE MY PERSONAL INFORMATION / TARGETED ADS', 'Your privacy is important to us. We do not sell your personal information for monetary consideration. Certain advertising practices may be considered a ”sale” under California law when the personal information is exchanged for non-monetary consideration. You have the right to opt out of these types of disclosures of your information. To understand the specific rights applicable to you, please review our Privacy Policy.']",[],"['Your privacy is important to us. We do not sell your personal information for monetary consideration. Certain advertising practices may be considered a ”sale” under California law when the personal information is exchanged for non-monetary consideration. You have the right to opt out of these types of disclosures of your information. To understand the specific rights applicable to you, please review our Privacy Policy.']",[],[]
77,45,nj_45,[],[],[],[],[]
78,72,info_72,[],[],[],[],[]
79,992,songkick_992,[],[],[],[],[]
80,970,dailymotion_970,['Do not Sell My Personal Info'],[],[],[],[]
81,81,express-scripts_81,[],[],[],[],[]
82,829,vitalmx_829,[],[],[],[],[]
83,837,westmarine_837,['Do Not Sell Or Share My Personal Information'],[],[],[],[]
84,809,honda_809,[],['Your Privacy Choices '],[],[],[]
85,1014,com_1014,[],[],[],[],[]
86,682,sammobile_682,['Do not sell or share my personal information'],[],['Opt Out Advertising B.V. '],[],[]
87,62,healthgrades_62,"['', 'Do Not Sell My Personal Information']",[],[],[],[]
88,357,macys_357,"['Do Not Sell My Personal Information', 'Do Not Sell or Share My Personal Information']",[],"['These cookies collect information for analytics and to personalize your experience with targeted ads. If you opt out we will not be able to offer you personalized ads and will not share personal information with any third parties. ', 'Your Opt Out Preference Signal is Honored']",[],[]
89,519,icloud_519,[],[],[],[],[]
90,185,washingtonpost_185,[],['Your Privacy Choices '],[],[],[]
91,474,purplemath_474,['Do not sell or share my personal information'],[],[],[],[]
92,220,proquest_220,[],[],[],[],[]
93,921,monster_921,[],['Your Privacy Choices\xa0'],[],[],[]
94,902,justanswer_902,[],[],[],[],[]
95,756,heels_756,[],[],[],[],[]
96,310,livingsocial_310,['Do Not Sell or Share My Personal Information'],[],[],[],[]
97,770,framesdirect_770,[],[],[],[],[]
98,945,org_945,[],[],[],[],[]
99,472,metric-conversions_472,['Do not sell my info:'],[],[''],[],[]
100,649,spotify_649,[],"['\nPlease log in to your account to manage your privacy choices associated with your Spotify account.\n\n                ', ': Spotify may share additional personal data with third parties for tailored advertising purposes if you have a Spotify account. This toggle does not facilitate your privacy choices for any personal data associated with your Spotify account if you have not logged in.\n', 'Your Privacy Choices']",[],[],[]
101,674,pcworld_674,"['California: Do not Sell my Personal Info', '\n\t\t\t\t\tDo Not Sell My Info\t\t\t\t']",[],[],[],[]
102,552,kayak_552,"['', 'Do Not Sell or Share My Info']",[],[''],[],[]
103,546,qatarairways_546,[],[],[],[],[]
104,688,victoriassecret_688,['Do Not Sell or Share My Personal Information'],[],[],[],[]
105,534,webs_534,[],[],[],[],[]
106,666,theverge_666,['Do Not Sell Or Share My Personal Info'],[],[],[],[]
107,1042,icicibank_1042,[],[],[],[],[]
108,17,grubhub_17,"['Do Not Sell My Information', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
109,432,gov_432,[],[],[],[],[]
110,699,llbean_699,['Do Not Sell or Share My Information'],[],['Targeted Advertising Opt Out'],[],[]
111,724,herroom_724,[],[],[],[],[]
112,903,peopleperhour_903,[],[],[],[],[]
113,386,universetoday_386,[],[],[],[],[]
114,11,tasteofhome_11,['Do not Sell or Share My Personal Information'],[],[],[],[]
115,413,org_413,[],[],[],[],[]
116,91,womenshealth_91,[],[],[],[],[]
117,106,wayfair_106,"['', ""Don't Sell My Personal Information""]",[],[],[],[]
118,138,uline_138,[],[],[],[],[]
119,950,memrise_950,[],[],[],[],[]
120,985,lyricsfreak_985,[],[],[],[],[]
121,955,k12_955,[],[],[],[],[]
122,282,craigslist_282,[],[],[],[],[]
123,1082,org_1082,['Do Not Sell My Personal Information'],[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
124,535,tripod_535,[],[],[],[],[]
125,983,deezer_983,[],[],[],[],[]
126,395,sunsigns_395,['Do Not Sell My Info'],[],[],[],[]
127,982,last_982,['Do Not Sell My Personal Information'],[],"['\nTo opt out of our use of personal information associated with the email address you provided to us (such as through account registration, newsletters or marketing subscriptions) in connection with activities that may be considered “sales,” “sharing,” or “targeted advertising,” please submit your request ', '\nTo opt out of our use of personal information associated with a device that may be considered “sales,” “sharing” or “targeted advertising,” move the toggle to the left or otherwise select your preferences.  You will need to renew this choice at each Paramount service you visit, if you clear your browser cookies, or if you return to this Paramount service using a different browser or device.\u202f\n\n\n\n\n\n\n\n\n\n\n']",[],[]
128,75,drugs_75,['Do not sell my personal information'],[],[],[],[]
129,721,victoriassecret_721,['Do Not Sell or Share My Personal Information'],[],[],[],[]
130,940,howstuffworks_940,['Do Not Sell My Info'],[],[],[],[]
131,311,net_311,['Do Not Sell or Share My Personal Information'],[],[],[],[]
132,667,gsmarena_667,['Do not sell my data'],['Your privacy choices'],[],[],[]
133,780,com_780,[],[],[],[],[]
134,142,dailywire_142,['Do Not Sell or Share My Personal Information'],[],[],[],[]
135,507,sbnation_507,['Do Not Sell or Share My Personal Info'],[],[],[],[]
136,12,delish_12,[],"['', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads', 'Your Privacy Choices']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
