,Index,Url rendered,Actual url,page jump
30,483,usatoday.com/?gps-source=BRNMSVCPSKSTT,https://hoopshype.com/,Yes
62,610,asrock.com/mb/index.asp#AMS,https://www.tomshardware.com/,Yes
112,665,asrock.com/Graphics-Card/#tRX7900XTX,https://www.tomshardware.com/,Yes
129,581,globusjourneys.com/tour/europe/?utm_sourc,https://www.fodors.com/,Yes
159,488,win-waste.com,https://www.patriots.com/,Yes
179,553,id17ded9553c360ccb87!,https://www.priceline.com/?vrid=5b0366966e01f115e8aa3a82cd601546,No
