,Index,Text,Dates
46,163,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
47,168,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
48,170,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
49,171,"['Do not sell', 'Do not sell', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
50,172,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
51,173,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
52,176,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
53,177,"['Do not sell or share', 'Do not sell or share', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
54,179,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
55,180,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
56,182,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
57,184,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
58,186,"['Do not sell', 'Ambiguous', 'Ambiguous', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
59,195,"['No', 'Do not sell']","['2023-01-05', '2023-01-30']"
60,197,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
61,208,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
62,214,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
63,217,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
64,223,"['Do not sell', 'Do not sell', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
65,226,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
66,231,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
67,253,"['No', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
68,270,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
69,271,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
70,273,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
71,274,"['No', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
72,277,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
73,283,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
74,294,"['Do not sell or share', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
75,300,"['Do not sell or share', 'Do not sell or share', 'Do not sell or share', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
76,304,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
77,310,"['Do not sell or share', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
78,344,"['Do not sell', 'Do not sell', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
79,354,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
80,356,"['Do not sell or share', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
81,368,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
82,370,"['Do not sell or share', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
83,374,"['No', 'Do not sell', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
84,376,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
85,387,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
86,391,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
87,396,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
88,419,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
89,445,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
90,463,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
91,467,"['Do not sell', 'No']","['2023-01-05', '2023-01-17']"
92,469,"['No', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
93,470,"['Do not sell', 'No', 'Ambiguous', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
94,472,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
95,481,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
96,482,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
97,483,"['Do not sell', 'No']","['2023-01-17', '2023-01-30']"
98,493,"['Do not sell or share', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
99,499,"['Do not sell or share', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
100,501,"['Do not sell', 'No', 'Ambiguous', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
101,502,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
102,503,"['Do not sell', 'Do not sell', 'Ambiguous', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
103,508,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
104,510,"['Do not sell or share', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
105,526,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
106,551,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
107,553,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
108,557,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
109,559,"['Do not sell or share', 'No', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
110,564,"['No', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
111,566,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
112,570,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
113,572,"['Do not sell or share', 'Do not sell or share', 'Ambiguous', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
114,574,"['Do not sell or share', 'No', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
115,575,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
116,581,"['Do not sell or share', 'No']","['2023-01-05', '2023-01-30']"
117,583,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
118,586,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
119,587,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
120,598,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
121,635,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
122,637,"['Do not sell or share', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
123,639,"['Do not sell or share', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
124,645,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
125,657,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
126,667,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
127,668,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
128,672,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
129,674,"['Do not sell', 'Do not sell', 'Ambiguous', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
130,675,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
131,676,"['Do not sell', 'Do not sell', 'Ambiguous', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
132,679,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
133,681,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
134,685,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
135,687,"['Do not sell or share', 'Do not sell or share', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
136,690,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
137,692,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
138,694,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
139,699,"['Do not sell or share', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
140,700,"['No', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-30']"
141,710,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
142,713,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
143,722,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
144,738,"['Do not sell or share', 'Do not sell', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
145,739,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
146,747,"['Do not sell or share', 'No', 'Ambiguous', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
147,759,"['Do not sell or share', 'Do not sell', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
148,761,"['No', 'No', 'No', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
149,772,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
150,774,"['Do not sell or share', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-30']"
151,784,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
152,786,"['Do not sell', 'Ambiguous', 'Ambiguous', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
153,793,"['No', 'No', 'Do not sell']","['2023-01-05', '2023-01-17', '2023-01-30']"
154,801,"['Do not sell or share', 'No', 'Do not sell or share', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
155,807,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
156,835,"['No', 'Ambiguous', 'No', 'Ambiguous']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
157,842,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
158,843,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
159,847,"['No', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
160,848,"['Do not sell or share', 'Do not sell', 'Do not sell', 'Do not sell']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
161,849,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
162,856,"['Do not sell', 'No', 'Do not sell', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
163,857,"['Do not sell', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
164,859,"['No', 'Do not sell or share', 'Do not sell or share', 'Do not sell or share']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
165,861,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
166,863,"['Do not sell', 'No', 'No', 'No']","['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
