,Index,Text,Dates
75,100,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
76,101,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
77,102,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
78,103,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
79,104,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
80,105,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
81,106,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
82,108,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
83,109,No,"['2023-01-05', '2023-01-13', '2023-01-30']"
84,110,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
85,111,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
86,116,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
87,118,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
88,121,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
89,123,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
90,124,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
91,125,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
92,126,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
93,127,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
94,129,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
95,130,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
96,131,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
97,132,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
98,133,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
99,135,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
100,136,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
101,137,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
102,138,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
103,139,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
104,140,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
105,142,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
106,143,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
107,144,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
108,147,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
109,148,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
110,150,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
111,151,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
112,153,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
113,154,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
114,155,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
115,158,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
116,162,No,"['2023-01-05', '2023-01-13', '2023-01-17']"
117,164,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
118,165,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
119,166,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
120,167,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
121,169,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
122,174,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
123,175,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
124,178,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
125,181,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
126,183,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
127,185,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
128,187,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
129,188,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
130,189,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
131,190,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
132,191,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
133,192,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
134,193,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
135,194,No,"['2023-01-13', '2023-01-17', '2023-01-30']"
136,196,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
137,198,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
138,199,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
139,200,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
140,201,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
141,202,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
142,203,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
143,204,No,"['2023-01-13', '2023-01-17', '2023-01-30']"
144,205,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
145,206,Do not sell,"['2023-01-05', '2023-01-30']"
146,207,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
147,209,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
148,210,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
149,211,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
150,212,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
151,213,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
152,215,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
153,216,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
154,218,Do not sell or share,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
155,219,No,"['2023-01-13', '2023-01-17', '2023-01-30']"
156,220,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
157,221,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
158,222,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
159,224,Do not sell or share,"['2023-01-13', '2023-01-17', '2023-01-30']"
160,225,Do not sell,"['2023-01-13', '2023-01-30']"
161,227,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
162,228,No,"['2023-01-05', '2023-01-17']"
163,229,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
164,230,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
165,232,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
166,233,Do not sell,"['2023-01-13', '2023-01-17', '2023-01-30']"
167,234,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
168,235,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
169,236,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
170,237,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
171,238,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
172,239,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
173,240,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
174,241,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
175,242,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
176,243,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
177,244,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
178,245,No,"['2023-01-05', '2023-01-17', '2023-01-30']"
179,246,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
180,247,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
181,248,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
182,249,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
183,250,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
184,251,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
185,252,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
186,254,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
