,Index,Text,Dates
80,120,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
81,122,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
82,123,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
83,125,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
84,126,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
85,128,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
86,129,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
87,131,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
88,132,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
89,133,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
90,135,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
91,136,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
92,137,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
93,138,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
94,139,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
95,142,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
96,143,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
97,144,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
98,146,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
99,147,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
100,148,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
101,151,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
102,153,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
103,154,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
104,155,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
105,158,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
106,160,Ambiguous,"['2023-03-05', '2023-03-17', '2023-03-30']"
107,161,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
108,163,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
109,164,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
110,168,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
111,170,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
112,172,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
113,173,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
114,174,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
115,175,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
116,176,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
117,178,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
118,180,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
119,181,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
120,183,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
121,184,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
122,187,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
123,188,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
124,189,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
125,191,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
126,192,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
127,193,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
128,194,Privacy Choice,['2023-03-17']
129,198,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
130,199,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
131,200,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
132,201,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
133,202,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
134,203,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
135,204,Privacy Choice,['2023-03-17']
136,209,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
137,210,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
138,211,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
139,212,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
140,213,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
141,214,Do not sell or share,['2023-03-17']
142,216,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
143,217,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
144,218,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
145,220,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
146,221,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
147,222,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
148,223,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
149,226,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
150,227,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
151,228,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
152,229,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
153,230,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
154,231,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
155,234,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
156,235,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
157,236,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
158,237,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
159,238,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
160,239,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
161,240,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
162,241,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
163,242,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
164,243,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
165,244,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
166,245,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
167,246,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
168,247,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
169,248,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
170,249,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
171,251,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
172,252,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
173,253,Ambiguous,"['2023-03-05', '2023-03-17', '2023-03-30']"
174,254,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
175,257,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
176,258,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
177,260,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
178,262,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
179,263,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
180,264,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
181,265,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
182,269,Do not sell,['2023-03-17']
183,272,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
184,273,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
185,274,Ambiguous,['2023-03-17']
186,275,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
187,276,Do not sell,['2023-03-17']
188,277,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
189,278,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
190,279,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
191,280,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
192,281,No,['2023-03-17']
193,282,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
194,283,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
195,284,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
196,285,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
197,286,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
198,287,No,"['2023-03-05', '2023-03-17']"
199,288,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
200,289,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
201,290,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
202,291,No,"['2023-03-05', '2023-03-17']"
203,292,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
204,293,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
205,294,Ambiguous,"['2023-03-05', '2023-03-17', '2023-03-30']"
206,296,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
207,297,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
208,299,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
209,300,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
210,301,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
211,302,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
212,303,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
213,305,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
214,306,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
215,308,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
216,309,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
217,310,Ambiguous,"['2023-03-05', '2023-03-17', '2023-03-30']"
218,312,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
219,313,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
220,314,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
221,315,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
222,316,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
223,317,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
224,318,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
225,319,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
226,320,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
227,321,Do not sell,['2023-03-17']
228,322,No,['2023-03-05']
229,323,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
230,324,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
231,325,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
232,326,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
233,327,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
234,328,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
235,329,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
236,330,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
237,331,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
238,332,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
239,333,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
240,334,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
241,335,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
242,336,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
243,337,No,['2023-03-17']
244,338,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
245,339,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
246,340,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
247,341,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
248,342,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
249,345,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
250,346,No,['2023-03-05']
251,347,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
252,348,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
253,349,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
254,350,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
255,351,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
256,353,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
257,354,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
258,355,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
259,356,Ambiguous,"['2023-03-05', '2023-03-17', '2023-03-30']"
260,357,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
261,359,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
262,360,Do not sell,['2023-03-30']
263,361,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
264,362,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
265,364,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
266,366,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
267,368,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
268,369,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
269,371,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
270,372,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
271,373,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
272,378,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
273,379,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
274,380,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
275,381,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
276,383,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
277,384,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
278,385,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
279,386,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
280,387,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
281,388,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
282,389,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
283,390,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
284,392,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
285,393,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
286,394,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
287,395,Do not sell,['2023-03-17']
288,396,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
289,397,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
290,398,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
