,Index,Text,Dates
59,179,"['Do not sell or share', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
60,182,"['No', 'Do not sell', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
61,185,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
62,186,"['Ambiguous', 'Do not sell', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
63,190,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
64,196,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
65,197,"['Do not sell', 'No', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
66,205,"['Do not sell or share', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
67,207,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
68,208,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
69,215,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
70,219,"['Privacy Choice', 'No']","['2023-03-17', '2023-03-30']"
71,232,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
72,233,"['Do not sell', 'No']","['2023-03-17', '2023-03-30']"
73,250,"['No', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
74,255,"['Do not sell', 'No', 'No']","['2023-03-05', '2023-03-17', '2023-03-30']"
75,256,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
76,261,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
77,266,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
78,267,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
79,268,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
80,270,"['Do not sell', 'No', 'Do not sell']","['2023-03-05', '2023-03-17', '2023-03-30']"
81,271,"['Do not sell', 'Ambiguous', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
82,295,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
83,298,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
84,304,"['No', 'No', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
85,307,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
86,311,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
87,343,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-17']"
88,344,"['No', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
89,352,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
90,358,"['Do not sell', 'Do not sell', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
91,365,"['Do not sell or share', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
92,367,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
93,370,"['No', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
94,374,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
95,375,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
96,376,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
97,377,"['Do not sell or share', 'Do not sell', 'Do not sell or share']","['2023-03-05', '2023-03-17', '2023-03-30']"
98,382,"['Do not sell', 'Ambiguous', 'Ambiguous']","['2023-03-05', '2023-03-17', '2023-03-30']"
99,391,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
100,404,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
101,407,"['No', 'Privacy Choice', 'Privacy Choice']","['2023-03-05', '2023-03-17', '2023-03-30']"
