,Date,Do not sell or share my personal information,Do not sell my personal information,California residents: do not sell my info,Do not sell or share my personal information(CA residents only)
0,2023-02-20,205,221,9,2
0,2023-01-30,162,175,14,0
0,2023-01-05,149,274,12,2
0,2023-01-17,181,236,12,0
0,2023-02-10,189,210,9,2
0,2023-02-07,188,206,10,2
0,2023-01-13,163,200,12,1
