,Index,2023-02-20_Check,2023-02-20_filename,2023-02-20_Text,2023-02-20_Presence confirm,2023-01-30_Check,2023-01-30_filename,2023-01-30_Text,2023-01-30_Presence confirm,2023-01-05_Check,2023-01-05_filename,2023-01-05_Text,2023-01-05_Presence confirm,2023-01-17_Check,2023-01-17_filename,2023-01-17_Text,2023-01-17_Presence confirm,2023-02-10_Check,2023-02-10_filename,2023-02-10_Text,2023-02-10_Presence confirm,2023-02-07_Check,2023-02-07_filename,2023-02-07_Text,2023-02-07_Presence confirm,2023-01-13_Check,2023-01-13_filename,2023-01-13_Text,2023-01-13_Presence confirm
952,952,True,pluralsight_952,Do not sell or share my personal information,Yes,True,,,,True,pluralsight_952,Do not sell or share my personal information,Yes,True,pluralsight_952,Do not sell or share my personal information,Yes,True,pluralsight_952,Do not sell or share my personal information,Yes,True,pluralsight_952,Do not sell or share my personal information,Yes,True,,,
953,953,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
954,954,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
955,955,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
956,956,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
957,957,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
958,958,True,cnn_958,Do not sell or share my personal information,Yes,True,,,,True,cnn_958,Do not sell or share my personal information,Yes,True,cnn_958,Do not sell or share my personal information,Yes,True,,,,True,,,,True,,,
959,959,True,netflix_959,Do not sell or share my personal information,Yes,True,netflix_959,Do not sell or share my personal information,Yes,True,netflix_959,Do not sell or share my personal information,Yes,True,netflix_959,Do not sell or share my personal information,Yes,True,netflix_959,Do not sell or share my personal information,Yes,True,netflix_959,Do not sell or share my personal information,Yes,True,netflix_959,Do not sell or share my personal information,Yes
960,960,True,com_960,Do not sell or share my personal information,Yes,True,,,,True,com_960,Do not sell or share my personal information,Yes,True,com_960,Do not sell or share my personal information,Yes,True,com_960,Do not sell or share my personal information,Yes,True,com_960,Do not sell or share my personal information,Yes,True,,,
961,961,True,,,,True,twitch_961,,No,True,twitch_961,,No,True,,,,True,,,,True,,,,True,twitch_961,,No
962,962,True,bbc_962,Do not sell my personal information,Yes,True,bbc_962,Do not sell my personal information,Yes,True,bbc_962,Do not sell my personal information,Yes,True,bbc_962,Do not sell my personal information,Yes,True,bbc_962,Do not sell my personal information,Yes,True,bbc_962,Do not sell my personal information,Yes,True,bbc_962,Do not sell my personal information,Yes
963,963,True,com_963,Do not sell or share my personal information,Yes,True,,,,True,com_963,Do not sell my personal information,Yes,True,com_963,Do not sell or share my personal information,Yes,True,com_963,Do not sell or share my personal information,Yes,True,com_963,Do not sell or share my personal information,Yes,True,,,
964,964,True,etsy_964,Do not sell my personal information,Yes,True,,,,True,etsy_964,Do not sell my personal information,Yes,True,etsy_964,Do not sell my personal information,Yes,True,etsy_964,Do not sell my personal information,Yes,True,etsy_964,Do not sell my personal information,Yes,True,,,
965,965,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
966,966,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
967,967,True,com_967,Do not sell my personal information,Yes,True,,,,True,com_967,Do not sell my personal information,Yes,True,com_967,Do not sell my personal information,Yes,True,com_967,Do not sell my personal information,Yes,True,com_967,Do not sell my personal information,Yes,True,,,
968,968,True,deviantart_968,Do not sell or share my personal information,Yes,True,,,,True,deviantart_968,Do not sell my personal information,Yes,True,deviantart_968,Do not sell my personal information,Yes,True,deviantart_968,Do not sell or share my personal information,Yes,True,deviantart_968,Do not sell or share my personal information,Yes,True,,,
969,969,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
970,970,True,dailymotion_970,Do not sell my personal information,Yes,True,,,,True,dailymotion_970,Do not sell my personal information,Yes,True,dailymotion_970,Do not sell my personal information,Yes,True,dailymotion_970,Do not sell my personal information,Yes,True,dailymotion_970,Do not sell my personal information,Yes,True,,,
971,971,True,foodnetwork_971,Do not sell or share my personal information,Yes,True,foodnetwork_971,Do not sell or share my personal information,Yes,True,foodnetwork_971,Do not sell or share my personal information,Yes,True,foodnetwork_971,Do not sell or share my personal information,Yes,True,foodnetwork_971,Do not sell or share my personal information,Yes,True,foodnetwork_971,Do not sell or share my personal information,Yes,True,foodnetwork_971,Do not sell or share my personal information,Yes
972,972,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
973,973,True,com_973,Do not sell my personal information,Yes,True,com_973,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,,True,com_973,Do not sell my personal information,Yes
974,974,True,,,,True,,,,True,pandora_974,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
975,975,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
976,976,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
977,977,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
978,978,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
979,979,True,discogs_979,Do not sell or share my personal information,Yes,True,,,,True,discogs_979,Do not sell or share my personal information,Yes,True,discogs_979,Do not sell or share my personal information,Yes,True,discogs_979,Do not sell or share my personal information,Yes,True,discogs_979,Do not sell or share my personal information,Yes,True,,,
980,980,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
981,981,True,,,,True,,,,True,com_981,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
982,982,True,last_982,Do not sell my personal information,Yes,True,last_982,Do not sell my personal information,Yes,True,last_982,Do not sell my personal information,Yes,True,last_982,Do not sell my personal information,Yes,True,last_982,Do not sell my personal information,Yes,True,last_982,Do not sell my personal information,Yes,True,last_982,Do not sell my personal information,Yes
983,983,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
984,984,True,com_984,Do not sell or share my personal information,Yes,True,,,,True,com_984,Do not sell or share my personal information,Yes,True,com_984,Do not sell or share my personal information,Yes,True,com_984,Do not sell or share my personal information,Yes,True,com_984,Do not sell or share my personal information,Yes,True,,,
985,985,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
986,986,True,,,,True,,,,True,fandango_986,Do not sell my personal information,Yes,True,fandango_986,Do not sell my personal information,Yes,True,,,,True,,,,True,fandango_986,Do not sell my personal information,Yes
