,Index,Text,Dates
276,282,No,"['2023-04-05', '2023-04-17']"
277,283,No,"['2023-04-05', '2023-04-17']"
278,284,No,"['2023-04-05', '2023-04-17']"
279,285,No,"['2023-04-05', '2023-04-17']"
280,286,No,"['2023-04-05', '2023-04-17']"
281,287,No,"['2023-04-05', '2023-04-17']"
282,288,No,"['2023-04-05', '2023-04-17']"
283,289,Do not sell,"['2023-04-05', '2023-04-17']"
284,290,No,"['2023-04-05', '2023-04-17']"
285,291,No,"['2023-04-05', '2023-04-17']"
286,292,No,"['2023-04-05', '2023-04-17']"
287,293,Do not sell,"['2023-04-05', '2023-04-17']"
288,294,Ambiguous,"['2023-04-05', '2023-04-17']"
289,295,Do not sell or share,"['2023-04-05', '2023-04-17']"
290,296,Do not sell,"['2023-04-05', '2023-04-17']"
291,297,No,"['2023-04-05', '2023-04-17']"
292,298,No,"['2023-04-05', '2023-04-17']"
293,299,Do not sell,"['2023-04-05', '2023-04-17']"
294,300,Do not sell or share,"['2023-04-05', '2023-04-17']"
295,301,Do not sell,"['2023-04-05', '2023-04-17']"
296,302,Do not sell or share,"['2023-04-05', '2023-04-17']"
297,303,Do not sell,"['2023-04-05', '2023-04-17']"
298,305,No,"['2023-04-05', '2023-04-17']"
299,306,No,"['2023-04-05', '2023-04-17']"
300,307,No,"['2023-04-05', '2023-04-17']"
301,308,No,"['2023-04-05', '2023-04-17']"
302,309,No,"['2023-04-05', '2023-04-17']"
303,310,Ambiguous,"['2023-04-05', '2023-04-17']"
304,311,Do not sell or share,"['2023-04-05', '2023-04-17']"
305,312,Do not sell,"['2023-04-05', '2023-04-17']"
306,313,No,"['2023-04-05', '2023-04-17']"
307,314,No,"['2023-04-05', '2023-04-17']"
308,315,No,"['2023-04-05', '2023-04-17']"
309,316,Do not sell,"['2023-04-05', '2023-04-17']"
310,317,No,"['2023-04-05', '2023-04-17']"
311,318,No,"['2023-04-05', '2023-04-17']"
312,319,Do not sell,"['2023-04-05', '2023-04-17']"
313,320,No,"['2023-04-05', '2023-04-17']"
314,321,Do not sell,"['2023-04-05', '2023-04-17']"
315,322,No,"['2023-04-05', '2023-04-17']"
316,323,No,"['2023-04-05', '2023-04-17']"
317,325,Do not sell,"['2023-04-05', '2023-04-17']"
318,326,No,"['2023-04-05', '2023-04-17']"
319,327,No,"['2023-04-05', '2023-04-17']"
320,328,No,"['2023-04-05', '2023-04-17']"
321,329,No,"['2023-04-05', '2023-04-17']"
322,330,No,"['2023-04-05', '2023-04-17']"
323,331,No,"['2023-04-05', '2023-04-17']"
324,332,No,"['2023-04-05', '2023-04-17']"
325,333,No,"['2023-04-05', '2023-04-17']"
326,334,Do not sell,"['2023-04-05', '2023-04-17']"
327,335,No,"['2023-04-05', '2023-04-17']"
328,336,No,"['2023-04-05', '2023-04-17']"
329,337,No,"['2023-04-05', '2023-04-17']"
330,338,No,"['2023-04-05', '2023-04-17']"
331,339,No,"['2023-04-05', '2023-04-17']"
332,340,No,"['2023-04-05', '2023-04-17']"
333,341,No,"['2023-04-05', '2023-04-17']"
334,342,No,"['2023-04-05', '2023-04-17']"
335,343,No,"['2023-04-05', '2023-04-17']"
336,344,No,"['2023-04-05', '2023-04-17']"
337,345,No,"['2023-04-05', '2023-04-17']"
338,346,No,"['2023-04-05', '2023-04-17']"
339,347,Do not sell or share,"['2023-04-05', '2023-04-17']"
340,348,No,"['2023-04-05', '2023-04-17']"
341,349,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
342,350,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
343,351,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
344,352,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
345,353,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
346,354,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
347,355,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
348,356,Ambiguous,"['2023-04-05', '2023-04-06', '2023-04-17']"
349,357,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
350,358,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
351,359,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
352,360,Do not sell,['2023-04-05']
353,361,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
354,362,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
355,364,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
356,365,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
357,367,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
358,368,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
359,369,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
360,370,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
361,371,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
362,372,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
363,373,Do not sell,"['2023-04-05', '2023-04-06', '2023-04-17']"
364,374,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
365,375,Do not sell,"['2023-04-05', '2023-04-06', '2023-04-17']"
366,376,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
367,377,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
368,378,Do not sell or share,"['2023-04-05', '2023-04-06', '2023-04-17']"
369,379,No,"['2023-04-05', '2023-04-06', '2023-04-17']"
370,381,Do not sell or share,"['2023-04-06', '2023-04-17']"
