,Index,Url rendered,Actual url,page jump
1,928,wellfound.com,https://angel.co/,Possible
35,554,instagram.com/unchartedbackpacker/,https://www.lonelyplanet.com/,Possible
58,483,usatoday.com/?gps-source=BRNMSVCPSKSTT,https://hoopshype.com/,Possible
67,900,mailchimp.com/quesswork/?utm_source=drib,https://dribbble.com/,Possible
108,1054,info.workforce.pwe.com/workForce-benchmar,https://www.forbes.com/?sh=112eecaf2254,Possible
152,553,-073775d7e9a82ecOef34',https://www.priceline.com/?vrid=5b0366966e01f115e8aa3a82cd601546,Possible
